 # The norm of the isolated state is (3144960.00009502,0.000000000000000E+000)
 # Based on (nx)(ny)(nz) I think there should be     3144960
          44 -2.589834453424683E-003  5.663629700797554E-003
          45 -1.456891629304108E-004  3.174100713589906E-004
          46 -3.666294329607583E-005  8.075582292461679E-005
          47 -1.001447048587041E-003  2.358598363947380E-003
          48  9.311782038287467E-005 -2.050504422553856E-004
          49 -8.470873279859627E-005  1.822349452028678E-004
          50 -9.002767152144687E-005  2.002437917685034E-004
          51  2.979663890947549E-003 -6.448413387253308E-003
          52  8.732742936562324E-003 -1.897476377570035E-002
          53  8.389644275101561E-004 -1.892162571522031E-003
          54 -1.293585207688965E-003  2.640020401740136E-003
          55  4.901272001926705E-004 -1.099185986613609E-003
          56 -2.729762456659918E-004  5.998240083252498E-004
          57 -3.497693882060211E-004  7.831571730141432E-004
          58  3.747980415808901E-004 -6.834581109549403E-004
          59 -3.786020657966417E-003  8.194273594196951E-003
          60 -2.250954614899660E-004  5.211592829754736E-004
          61  5.030740028910941E-003 -1.070798645157009E-002
          62 -7.311161089213600E-003  1.714294200639982E-002
          63 -2.223683092710430E-003  3.416374656193377E-003
          64 -1.183932405243947E-003  3.356207952830582E-003
          65  1.418261390164008E-003 -3.331487256307357E-003
          66 -3.075939646269885E-004  6.918156163307647E-004
          67 -1.073980442931160E-003  2.447427839476833E-003
          68 -8.186601532759814E-005  1.796327487046964E-004
          69  5.393812653904850E-004 -1.226347690093100E-003
          70  1.199633513969861E-004 -5.616936853518074E-004
          71  3.193187822718536E-003  3.503717144965666E-003
          72  3.305577795484447E-003 -5.952343229911017E-003
          73  1.677467032664722E-003 -3.538765849607695E-003
          74 -9.378234709958022E-003  2.835471629507062E-002
          75  3.078429932971076E-003 -4.455909097295385E-003
          76  5.835827109797163E-003 -9.753856304234860E-003
          77  2.603042001323140E-002 -3.943959232518727E-002
          78  1.899784967439157E-003 -3.384852511926074E-003
          79 -4.125168337613605E-005  8.496081174269411E-005
          80 -6.284504082811955E-004  1.308492896177007E-003
          81  7.710833011373547E-004 -1.463627068858304E-003
          82 -3.777644427364082E-004  8.304301990155768E-004
          83 -1.054643005065448E-003  2.336515425142568E-003
          84  1.318938202307683E-004 -7.288205805865518E-004
          85 -4.758068921262323E-004  1.057467267728955E-003
          86  1.996550918965293E-003 -4.392536253765472E-003
          87 -9.945835414566467E-004  2.170592327002392E-003
          88 -8.696521931387839E-003  1.936987305646477E-002
          89  3.302853303596827E-003 -7.290126417703245E-003
          90 -1.353214382120015E-003  2.971878885993226E-003
          91  2.297650215470827E-003 -5.057271778478075E-003
          92  6.273988912203978E-004 -1.381780124667767E-003
          93  2.119008127990737E-004 -4.635764322035655E-004
          94 -5.458895421510863E-003  1.204891928356557E-002
          95 -3.935117597739518E-003  8.694793547798335E-003
          96 -2.238461819932347E-003  4.931031237478575E-003
          97 -3.585656299081171E-003  7.911351077084674E-003
          98 -2.644001622835435E-003  5.820080264178614E-003
          99  1.549453224350631E-002 -3.414285549476035E-002
         100  3.791801140081757E-003 -8.363799965988994E-003
         101 -3.379477200732290E-003  7.248961027267531E-003
         102  2.127535756520288E-003 -4.688549315120753E-003
         103  8.840878854030395E-004 -1.949021565522328E-003
         104  1.487375075465945E-003 -3.278731089493199E-003
         105 -6.310782071503853E-003  1.391121935101523E-002
         106  1.586012171508813E-002 -3.495979698599368E-002
         107 -2.674982471342334E-002  5.896858871902738E-002
         108 -9.194103762608920E-004  2.026568903602244E-003
         109  3.181655748984638E-003 -7.016518632288128E-003
         110 -8.518967687130109E-003  1.877711538673248E-002
         111 -1.018349154379412E-004  2.245150935089465E-004
         112  7.149148902417644E-004 -1.575984934926387E-003
         113  2.335360937826033E-003 -5.147420153499397E-003
         114  6.179238159441888E-003 -1.362097381508861E-002
         115  1.510701819145317E-003 -3.330421089339218E-003
         116 -6.829323318318037E-004  1.505412235419816E-003
         117 -2.007129609214323E-003  4.425243775532148E-003
         118  2.373764408274187E-004 -5.231259746902930E-004
         119 -5.021972466783211E-003  1.106980064344753E-002
         120 -5.775318182440853E-003  1.273008338995748E-002
         121 -1.130558606635656E-002  2.498774859892474E-002
         122  2.484834914621126E-003 -5.476146130533921E-003
         123 -5.075620956732975E-004  1.118955719998881E-003
         124  1.109432819924064E-004 -2.444536122131495E-004
         125  7.213545081156141E-003 -1.590221465050323E-002
         126  3.934999637435719E-003 -8.674366724806617E-003
         127 -1.094989822076212E-003  2.414581513012153E-003
         128 -1.214593440261869E-002  1.749529310620691E-002
         129  5.109102691861818E-003  1.557772926114971E-002
         130 -4.981430896819908E-005 -1.241456126895792E-002
         131 -4.672546330592081E-003 -3.711919036789906E-003
         132  5.696190138071770E-002 -2.817973380329697E-002
         133  3.170932879541741E-002  1.316248160182956E-002
         134 -2.690517011937479E-002 -3.159830066515821E-003
         135  4.221264883320935E-002  5.879661504474180E-002
         136 -2.517399392897631E-003  5.239078481689658E-003
         137  3.416880386390399E-003 -1.610724790285696E-002
         138 -6.794845840300609E-003  7.399349175516243E-003
         139 -4.734719452454993E-003  1.507458226057422E-002
         140 -4.444717761991113E-003 -5.554365160523134E-003
         141 -2.300384041467989E-003  6.042024738310491E-002
         142 -7.044007556819939E-003 -3.458615839519390E-002
         143 -7.708977434946232E-003  2.061558218138764E-002
         144 -5.365071050150497E-003  1.034558602910238E-002
         145 -2.368112837152179E-002 -1.676077287623735E-002
         146  5.567839799346998E-003 -5.443198224488320E-005
         147  1.168397469003934E-002 -1.364334306419680E-002
         148 -4.387737458654577E-002 -9.416960416033524E-002
         149 -4.194477721874520E-002  4.386843286667933E-002
         150  5.293630159792732E-002  5.065219786453425E-002
         151 -4.538566030357731E-002  1.977519089046804E-002
         152 -5.291236115566260E-002  1.185949282412887E-002
         153  8.605876973774551E-002  4.041488392905895E-002
         154 -4.012322924144484E-003 -1.540211106504926E-003
         155 -1.604746820790096E-002  0.107454614743003     
         156 -7.494041591574647E-002  0.700205831515647     
         157  8.378856404197146E-002  0.121479942842539     
         158  5.435118337098617E-002  1.060155153182211E-002
         159 -0.224096667063466      -0.346499039362555     
         160  0.345918292401183      -0.178207301558140     
         161  5.002912886245302E-002 -0.106477816164363     
         162  3.238537450719963E-002  6.585169110579858E-002
         163 -8.824618783261588E-002 -8.340322189631183E-002
         164 -4.872482932501130E-002  0.104041705281189     
         165  1.509242965891615E-002 -8.071691345798869E-003
         166  2.863390870839553E-003  8.907157866252721E-003
         167 -7.060178676638392E-003  6.129964754807159E-003
         168 -7.777053817170468E-003  1.108494237219910E-002
         169  4.191676968019480E-003  1.154515648760376E-003
         170 -1.293049165371659E-004 -2.115886892465592E-003
         171  4.862558676529005E-004 -2.883146941074024E-005
         172  9.428435045629032E-003  4.509885969765623E-003
         173 -4.004592217234228E-004 -3.063434232006427E-004
         174 -1.929146713637921E-004 -6.508682983681341E-005
         175  7.408062212816671E-003 -8.842193970832696E-004
         176  1.929711323427637E-002  1.570354494617819E-002
         177  1.970200560623794E-003 -1.289667860278289E-003
         178  1.429427070859003E-002  5.206668781583186E-003
         179  4.396477823814222E-003 -6.274126166663813E-004
         180 -5.645336501522981E-003 -8.188389270833532E-003
