#  2.40500084848  eV
138 (1.03895332158e-06-3.8235303237e-20j)
139 (-3.60288054923e-06-6.8692991636e-20j)
140 (-2.36740605478e-06-5.67129397828e-20j)
141 (-2.9875996073e-06-7.16342331066e-20j)
142 -0j
143 (0.999999909567+0j)
144 (1.2769716611e-05-2.70274729328e-20j)
145 -0j
146 -0j
147 -0j
148 -0j
149 -0j
150 -0j
151 -0j
152 -0j
153 -0j
154 -0j
155 -0j
156 -0j
157 -0j
158 -0j
159 -0j
160 -0j
161 -0j
162 -0j
163 -0j
164 -0j
165 -0j
166 -0j
167 -0j
168 -0j
169 -0j
170 -0j
171 -0j
172 -0j
173 -0j
174 -0j
175 -0j
176 -0j
177 -0j
178 -0j
179 -0j
180 -0j
#  2.10601834934  eV
1 0j
2 0j
3 0j
4 0j
5 0j
6 0j
7 0j
8 0j
9 0j
10 0j
11 0j
12 0j
13 0j
14 0j
15 0j
16 0j
17 0j
18 0j
19 0j
20 0j
21 0j
22 0j
23 0j
24 0j
25 0j
26 0j
27 0j
28 0j
29 0j
30 0j
31 (-1.09968042322e-06-4.48034232103e-21j)
32 (1.54204781053e-06+1.54903302156e-21j)
33 (-8.82887296891e-07-1.56720066925e-21j)
34 (-1.76577459377e-06-1.45279927371e-21j)
35 0j
36 (-6.26999398665e-07+1.21377412186e-11j)
37 (1.22976781129e-05-3.06240514955e-11j)
38 (1.58324602378e-06+3.44406895241e-11j)
39 (1.77696621265e-05-3.83061485158e-11j)
40 (-2.40473065716e-06+1.05491268984e-12j)
41 (-6.400511809e-06+1.22499455902e-11j)
42 (1.95393138784e-05-2.73037046744e-11j)
43 (1.29420189914e-05-3.61666800828e-11j)
44 (3.15155980296e-06-1.79277880739e-11j)
45 (-3.41556342798e-08-5.00566930893e-12j)
46 (1.56698677248e-06+5.14962711972e-12j)
47 (1.28754798407e-06+1.73778328354e-12j)
48 (6.998441561e-07-1.46733751622e-12j)
49 (1.22493079462e-06+3.56476472703e-11j)
50 (-4.07118091837e-06-2.70533422671e-11j)
51 (7.95613522156e-06-1.38233355745e-11j)
52 (3.40561692715e-06+5.87572676658e-12j)
53 (4.25271558948e-06+3.14551899455e-11j)
54 (2.23588057168e-06+3.50008872367e-11j)
55 (-9.08701961473e-07-7.09419436392e-12j)
56 (3.44555510428e-06+2.83302369747e-07j)
57 (-3.30064333421e-07-6.38078506526e-12j)
58 (3.2327158237e-06+6.8311861841e-12j)
59 (1.37232968142e-05-3.26476797106e-11j)
60 (2.80524380271e-07-3.35213409598e-12j)
61 (-6.58371629587e-05+2.82377438595e-07j)
62 (3.70397681171e-05-8.16913502919e-11j)
63 (6.50997259436e-06-1.78481488344e-11j)
64 (1.08994144207e-05-1.49456420106e-11j)
65 (-5.30298976264e-06+1.04120236512e-11j)
