# nkptgw: 4 neig: 176
# E(DFT) pulse
-10.93125453 1.0 
-10.23434253 1.0 
-10.07893053 1.0 
-9.79597253 1.0 
-9.51361553 1.0 
-9.38548853 1.0 
-9.10365653 1.0 
-9.09090653 1.0 
-9.04421053 1.0 
-8.95056153 1.0 
-8.82247053 1.0 
-8.38970453 1.0 
-8.35498153 1.0 
-8.26171953 1.0 
-8.24732153 1.0 
-8.20323453 1.0 
-7.96728453 1.0 
-7.70335553 1.0 
-7.68794653 1.0 
-7.64545353 1.0 
-7.55569253 1.0 
-7.51770053 1.0 
-7.22373353 1.0 
-7.13106853 1.0 
-6.99752653 1.0 
-6.96258953 1.0 
-6.71844053 1.0 
-6.57690353 1.0 
-6.44079653 1.0 
-6.39265053 1.0 
-6.31795353 1.0 
-6.16387953 1.0 
-5.89537353 1.0 
-5.89447553 1.0 
-5.84222153 1.0 
-5.71273853 1.0 
-5.70427753 1.0 
-5.61898753 1.0 
-5.61248853 1.0 
-5.22388753 1.0 
-5.22132853 1.0 
-5.20359653 1.0 
-5.16726553 1.0 
-5.06493253 1.0 
-5.04322653 1.0 
-4.89279253 1.0 
-4.88262453 1.0 
-4.80721353 1.0 
-4.78433553 1.0 
-4.50860153 1.0 
-4.49777953 1.0 
-4.34970953 1.0 
-4.34118153 1.0 
-4.26594453 1.0 
-4.23397453 1.0 
-4.22933653 1.0 
-4.15406853 1.0 
-4.14181553 1.0 
-4.12124553 1.0 
-4.06113353 1.0 
-3.95543353 1.0 
-3.78119253 1.0 
-3.71507053 1.0 
-3.69157253 1.0 
-3.69014953 1.0 
-3.60908753 1.0 
-3.58444553 1.0 
-3.46551053 1.0 
-3.45732353 1.0 
-3.44436353 1.0 
-3.15819553 1.0 
-3.15318153 1.0 
-3.03125253 1.0 
-2.97745953 1.0 
-2.92192053 1.0 
-2.80467053 1.0 
-2.78457853 1.0 
-2.76610153 1.0 
-2.73842653 1.0 
-2.68322453 1.0 
-2.63212153 1.0 
-2.51911253 1.0 
-2.47171653 1.0 
-2.27705353 1.0 
-2.25411553 1.0 
-2.13361353 1.0 
-2.09951853 1.0 
-1.96279753 1.0 
-1.94451553 1.0 
-1.90175553 1.0 
-1.88380553 1.0 
-1.86004553 1.0 
-1.81799253 1.0 
-1.72898453 1.0 
-1.50879453 1.0 
-1.41086953 1.0 
-1.34834353 1.0 
-1.31472353 1.0 
-1.23107753 1.0 
-1.21817453 1.0 
-1.13263653 1.0 
-1.04499653 1.0 
-0.88826953 1.0 
-0.88350953 1.0 
-0.87968253 1.0 
-0.81110853 1.0 
-0.79688053 1.0 
-0.74551553 1.0 
-0.51186553 1.0 
-0.47820453 1.0 
-0.42531353 1.0 
-0.38717253 1.0 
-0.37182353 1.0 
-0.34437653 1.0 
-0.23919053 1.0 
-0.23283053 1.0 
-0.13566353 1.0 
-0.09177453 1.0 
-0.06760053 1.0 
-0.05720453 1.0 
0.06135947 1.0 
0.07037047 1.0 
0.12170447 1.0 
0.15986447 1.0 
0.23175347 1.0 
0.34738947 1.0 
0.44054547 1.0 
0.46836947 1.0 
0.57944347 1.0 
0.63249947 1.0 
0.63992047 1.0 
0.68998947 1.0 
0.72892047 1.0 
0.85306847 1.0 
0.95558047 1.0 
0.97857447 1.0 
1.05834047 1.0 
1.11715947 1.0 
1.12400647 1.0 
1.21665047 1.0 
1.25248747 1.0 
1.26329347 1.0 
1.28675047 1.0 
1.28683847 1.0 
1.30093147 1.0 
1.36278547 1.0 
1.43001347 1.0 
1.43209547 1.0 
1.61336047 1.0 
1.62454347 1.0 
1.66057447 1.0 
1.70013347 1.0 
1.76288947 1.0 
1.80702047 1.0 
1.83329947 1.0 
1.91245047 1.0 
1.92366947 1.0 
2.00605947 1.0 
2.09662647 1.0 
2.12758447 1.0 
2.16404547 1.0 
2.18205147 1.0 
2.32048847 1.0 
2.32159447 1.0 
2.34915547 1.0 
2.36497147 1.0 
2.43525147 1.0 
2.49709547 1.0 
2.52220547 1.0 
2.59230947 1.0 
2.72338147 1.0 
2.79657847 1.0 
2.81717747 1.0 
2.82520047 1.0 
2.83875047 1.0 
3.00082247 1.0 
