# nkptgw: 4 neig: 304
# E(DFT) pulse
-11.10282474 1.0 
-10.86409574 1.0 
-10.47789374 1.0 
-10.24973074 1.0 
-10.01228974 1.0 
-9.96653374 1.0 
-9.95030674 1.0 
-9.72951574 1.0 
-9.68390974 1.0 
-9.62817974 1.0 
-9.44731974 1.0 
-9.34610474 1.0 
-9.26400974 1.0 
-9.21414074 1.0 
-9.12037074 1.0 
-9.10344174 1.0 
-9.06457874 1.0 
-8.97822774 1.0 
-8.88458974 1.0 
-8.82232774 1.0 
-8.59660274 1.0 
-8.55900274 1.0 
-8.54174074 1.0 
-8.50318574 1.0 
-8.44371074 1.0 
-8.42067474 1.0 
-8.37246074 1.0 
-8.32409474 1.0 
-8.14074574 1.0 
-8.13776374 1.0 
-8.07543874 1.0 
-7.98236174 1.0 
-7.94419874 1.0 
-7.86143774 1.0 
-7.81399374 1.0 
-7.75833974 1.0 
-7.60455774 1.0 
-7.58030474 1.0 
-7.48786074 1.0 
-7.42549874 1.0 
-7.39734674 1.0 
-7.32608374 1.0 
-7.30469074 1.0 
-7.24032674 1.0 
-7.20249874 1.0 
-7.16539774 1.0 
-7.04831174 1.0 
-6.93290474 1.0 
-6.75060274 1.0 
-6.68677874 1.0 
-6.65356274 1.0 
-6.58694274 1.0 
-6.56637474 1.0 
-6.55700874 1.0 
-6.49480974 1.0 
-6.39872174 1.0 
-6.37690674 1.0 
-6.10094774 1.0 
-6.06181074 1.0 
-6.06113474 1.0 
-6.04412674 1.0 
-6.01594874 1.0 
-5.94436974 1.0 
-5.87884474 1.0 
-5.83173574 1.0 
-5.83070074 1.0 
-5.76130374 1.0 
-5.64929674 1.0 
-5.64299474 1.0 
-5.56953574 1.0 
-5.55151974 1.0 
-5.46050974 1.0 
-5.45856774 1.0 
-5.37723874 1.0 
-5.33200874 1.0 
-5.29493874 1.0 
-5.27915174 1.0 
-5.21526074 1.0 
-5.15127074 1.0 
-5.10492174 1.0 
-5.05786374 1.0 
-5.02117774 1.0 
-5.00607374 1.0 
-4.96983474 1.0 
-4.95647774 1.0 
-4.95163474 1.0 
-4.83016874 1.0 
-4.82436374 1.0 
-4.77872174 1.0 
-4.77044074 1.0 
-4.71397774 1.0 
-4.58244474 1.0 
-4.56780074 1.0 
-4.51377674 1.0 
-4.47703974 1.0 
-4.46356374 1.0 
-4.43303474 1.0 
-4.37715874 1.0 
-4.33173674 1.0 
-4.32227474 1.0 
-4.29433174 1.0 
-4.28771074 1.0 
-4.28528474 1.0 
-4.22542874 1.0 
-4.22299174 1.0 
-4.21561574 1.0 
-4.09858874 1.0 
-4.04888974 1.0 
-4.01171774 1.0 
-3.99064774 1.0 
-3.96965174 1.0 
-3.93942874 1.0 
-3.92433274 1.0 
-3.87470674 1.0 
-3.83008074 1.0 
-3.77689974 1.0 
-3.75926774 1.0 
-3.66219974 1.0 
-3.65901174 1.0 
-3.62385374 1.0 
-3.59792574 1.0 
-3.52979274 1.0 
-3.51700774 1.0 
-3.43628474 1.0 
-3.41108774 1.0 
-3.40708674 1.0 
-3.33000674 1.0 
-3.32038874 1.0 
-3.28817474 1.0 
-3.27080874 1.0 
-3.23967074 1.0 
-3.23388874 1.0 
-3.19276474 1.0 
-3.19236174 1.0 
-3.08749374 1.0 
-3.02266374 1.0 
-2.92758474 1.0 
-2.90265774 1.0 
-2.87966874 1.0 
-2.82463074 1.0 
-2.79629174 1.0 
-2.76160474 1.0 
-2.72007774 1.0 
-2.66318574 1.0 
-2.64080574 1.0 
-2.63075074 1.0 
-2.61707374 1.0 
-2.53970274 1.0 
-2.52232074 1.0 
-2.51831074 1.0 
-2.49306674 1.0 
-2.34253874 1.0 
-2.30290674 1.0 
-2.30249774 1.0 
-2.22803874 1.0 
-2.13936574 1.0 
-2.13774974 1.0 
-2.08282774 1.0 
-2.06360274 1.0 
-2.04501174 1.0 
-2.01980274 1.0 
-1.98035074 1.0 
-1.91656174 1.0 
-1.77205774 1.0 
-1.72318774 1.0 
-1.71293574 1.0 
-1.68053374 1.0 
-1.67969674 1.0 
-1.63737774 1.0 
-1.59141174 1.0 
-1.57311774 1.0 
-1.53862574 1.0 
-1.53189674 1.0 
-1.52962774 1.0 
-1.46348574 1.0 
-1.45565574 1.0 
-1.42509974 1.0 
-1.26868474 1.0 
-1.23180574 1.0 
-1.20509874 1.0 
-1.15779474 1.0 
-1.12068474 1.0 
-1.10674874 1.0 
-1.04939974 1.0 
-1.02704874 1.0 
-1.00263074 1.0 
-0.93810274 1.0 
-0.93594974 1.0 
-0.93577474 1.0 
-0.87170574 1.0 
-0.81759974 1.0 
-0.80787674 1.0 
-0.71381974 1.0 
-0.70425974 1.0 
-0.65856874 1.0 
-0.65133074 1.0 
-0.62735874 1.0 
-0.61631474 1.0 
-0.57863974 1.0 
-0.51920574 1.0 
-0.49307674 1.0 
-0.49085874 1.0 
-0.41130374 1.0 
-0.40149474 1.0 
-0.38662974 1.0 
-0.31029874 1.0 
-0.24831174 1.0 
-0.21316174 1.0 
-0.20521174 1.0 
-0.18708074 1.0 
-0.15358374 1.0 
-0.14700574 1.0 
-0.12305774 1.0 
-0.11291574 1.0 
-0.06388474 1.0 
-0.00233374 1.0 
0.04664426 1.0 
0.06073826 1.0 
0.18418926 1.0 
0.18604226 1.0 
0.21197026 1.0 
0.24145826 1.0 
0.24249826 1.0 
0.26954426 1.0 
0.31590526 1.0 
0.38054026 1.0 
0.40086226 1.0 
0.41163526 1.0 
0.43591026 1.0 
0.47511926 1.0 
0.49437726 1.0 
0.55441026 1.0 
0.56012926 1.0 
0.56899026 1.0 
0.60534126 1.0 
0.60535726 1.0 
0.61920726 1.0 
0.70002226 1.0 
0.75065126 1.0 
0.81589626 1.0 
0.84831526 1.0 
0.89171926 1.0 
0.89870126 1.0 
0.89911526 1.0 
0.97871626 1.0 
0.98628626 1.0 
1.01060526 1.0 
1.01208626 1.0 
1.01532626 1.0 
1.02575526 1.0 
1.05330526 1.0 
1.13087526 1.0 
1.24635926 1.0 
1.29244926 1.0 
1.33061026 1.0 
1.39763526 1.0 
1.39941826 1.0 
1.43468426 1.0 
1.43711826 1.0 
1.43818926 1.0 
1.45198126 1.0 
1.49441526 1.0 
1.51849326 1.0 
1.55410826 1.0 
1.60481426 1.0 
1.60620726 1.0 
1.60630426 1.0 
1.63166626 1.0 
1.66091626 1.0 
1.70303026 1.0 
1.71865926 1.0 
1.73718926 1.0 
1.74847926 1.0 
1.75537626 1.0 
1.77803826 1.0 
1.78469726 1.0 
1.82932926 1.0 
1.83611926 1.0 
1.85427426 1.0 
1.89520826 1.0 
1.93359126 1.0 
1.95963026 1.0 
2.10332226 1.0 
2.10372426 1.0 
2.10596726 1.0 
2.20579226 1.0 
2.20804626 1.0 
2.28777326 1.0 
2.30078626 1.0 
2.33939226 1.0 
2.35357726 1.0 
2.35880826 1.0 
2.40055826 1.0 
2.41850226 1.0 
2.42396826 1.0 
2.45951226 1.0 
2.49956526 1.0 
2.53320826 1.0 
2.56546126 1.0 
2.57425926 1.0 
2.58534726 1.0 
2.64066126 1.0 
2.66360226 1.0 
2.71148326 1.0 
