# nkptgw: 4 neig: 240
# E(DFT) pulse
-11.03888796 1.0 
-10.66130196 1.0 
-10.18603796 1.0 
-10.05538196 1.0 
-9.90291896 1.0 
-9.81043696 1.0 
-9.62037796 1.0 
-9.52796996 1.0 
-9.24607096 1.0 
-9.20773196 1.0 
-9.19443996 1.0 
-9.15073996 1.0 
-9.05699096 1.0 
-8.92632296 1.0 
-8.77750396 1.0 
-8.68396796 1.0 
-8.64549796 1.0 
-8.49578496 1.0 
-8.35105596 1.0 
-8.30923296 1.0 
-8.17873696 1.0 
-8.12411696 1.0 
-8.12261196 1.0 
-8.08559596 1.0 
-8.07108696 1.0 
-7.93797096 1.0 
-7.79178996 1.0 
-7.75099496 1.0 
-7.52812196 1.0 
-7.38125196 1.0 
-7.34275196 1.0 
-7.32764596 1.0 
-7.28432596 1.0 
-7.23501496 1.0 
-7.10264496 1.0 
-7.00619196 1.0 
-6.83483296 1.0 
-6.78856796 1.0 
-6.73473496 1.0 
-6.72878696 1.0 
-6.68090896 1.0 
-6.49665096 1.0 
-6.26807896 1.0 
-6.17608996 1.0 
-6.14514696 1.0 
-6.00228696 1.0 
-5.99947896 1.0 
-5.99873296 1.0 
-5.94621396 1.0 
-5.81661596 1.0 
-5.72635296 1.0 
-5.63554996 1.0 
-5.63415296 1.0 
-5.62668896 1.0 
-5.45353796 1.0 
-5.45125596 1.0 
-5.44384896 1.0 
-5.32325496 1.0 
-5.30758296 1.0 
-5.27016496 1.0 
-5.05468996 1.0 
-5.05095096 1.0 
-4.99594796 1.0 
-4.99520496 1.0 
-4.91728496 1.0 
-4.90397396 1.0 
-4.90369296 1.0 
-4.89932196 1.0 
-4.87534496 1.0 
-4.63588596 1.0 
-4.54995096 1.0 
-4.49214296 1.0 
-4.45217696 1.0 
-4.36997196 1.0 
-4.36192196 1.0 
-4.32685296 1.0 
-4.26868396 1.0 
-4.26309196 1.0 
-4.22482096 1.0 
-4.21779396 1.0 
-4.18087096 1.0 
-4.15781796 1.0 
-4.09476496 1.0 
-4.07176896 1.0 
-4.06413596 1.0 
-3.98342696 1.0 
-3.97532896 1.0 
-3.94467496 1.0 
-3.83662096 1.0 
-3.82628196 1.0 
-3.64786296 1.0 
-3.56086396 1.0 
-3.52884396 1.0 
-3.52620896 1.0 
-3.49540896 1.0 
-3.44571896 1.0 
-3.40476896 1.0 
-3.28826496 1.0 
-3.27134896 1.0 
-3.23771096 1.0 
-3.21330196 1.0 
-3.21171096 1.0 
-3.17066896 1.0 
-3.11893596 1.0 
-3.03789796 1.0 
-3.03377396 1.0 
-3.02476396 1.0 
-2.87988596 1.0 
-2.77289896 1.0 
-2.74753796 1.0 
-2.69939596 1.0 
-2.64494996 1.0 
-2.63917696 1.0 
-2.56379896 1.0 
-2.53263896 1.0 
-2.50824996 1.0 
-2.46966596 1.0 
-2.33659996 1.0 
-2.20996496 1.0 
-2.13787696 1.0 
-2.12569296 1.0 
-2.07288796 1.0 
-1.99394096 1.0 
-1.98410696 1.0 
-1.96889096 1.0 
-1.94016896 1.0 
-1.88393696 1.0 
-1.83200996 1.0 
-1.77897896 1.0 
-1.75675796 1.0 
-1.73124096 1.0 
-1.69671696 1.0 
-1.66464396 1.0 
-1.58987496 1.0 
-1.48329696 1.0 
-1.31861496 1.0 
-1.30023396 1.0 
-1.28631896 1.0 
-1.20151296 1.0 
-1.18607396 1.0 
-1.17335396 1.0 
-1.07676096 1.0 
-1.04492096 1.0 
-1.01974496 1.0 
-0.99524196 1.0 
-0.94750296 1.0 
-0.94398596 1.0 
-0.76843896 1.0 
-0.71142796 1.0 
-0.68778596 1.0 
-0.68645496 1.0 
-0.65636196 1.0 
-0.64712396 1.0 
-0.58692296 1.0 
-0.49532396 1.0 
-0.38501596 1.0 
-0.33693796 1.0 
-0.31437396 1.0 
-0.28996596 1.0 
-0.27732596 1.0 
-0.27186096 1.0 
-0.26042696 1.0 
-0.21333996 1.0 
-0.21249496 1.0 
-0.16337896 1.0 
-0.16219696 1.0 
-0.12930696 1.0 
-0.10233896 1.0 
-0.02979596 1.0 
0.04337804 1.0 
0.11342004 1.0 
0.19185104 1.0 
0.20630104 1.0 
0.23196604 1.0 
0.25616304 1.0 
0.38910704 1.0 
0.42052404 1.0 
0.42545504 1.0 
0.51010904 1.0 
0.56899904 1.0 
0.62984904 1.0 
0.64007704 1.0 
0.74740804 1.0 
0.75525504 1.0 
0.78646204 1.0 
0.79416704 1.0 
0.86813104 1.0 
0.87240404 1.0 
0.92430604 1.0 
0.95818404 1.0 
1.00105604 1.0 
1.00878104 1.0 
1.07968604 1.0 
1.10479404 1.0 
1.14364304 1.0 
1.16400604 1.0 
1.17305404 1.0 
1.18319304 1.0 
1.22736104 1.0 
1.23411204 1.0 
1.27761604 1.0 
1.37478704 1.0 
1.39709704 1.0 
1.40359704 1.0 
1.44129004 1.0 
1.44231704 1.0 
1.49506704 1.0 
1.65250904 1.0 
1.66238704 1.0 
1.67863104 1.0 
1.67919504 1.0 
1.71477004 1.0 
1.73053404 1.0 
1.74621804 1.0 
1.78213404 1.0 
1.92382704 1.0 
1.94079504 1.0 
2.04273704 1.0 
2.05614004 1.0 
2.07230904 1.0 
2.15918404 1.0 
2.16361404 1.0 
2.16432804 1.0 
2.19673804 1.0 
2.24043804 1.0 
2.31969304 1.0 
2.35415804 1.0 
2.38560704 1.0 
2.38839004 1.0 
2.40928904 1.0 
2.41077404 1.0 
2.44864704 1.0 
2.50937604 1.0 
2.57125004 1.0 
2.57657504 1.0 
2.59489904 1.0 
2.64018104 1.0 
2.68422204 1.0 
2.69036804 1.0 
2.70249304 1.0 
