#
#
1 1 1 -20.545 -30.82
2 1 1 -20.138 -30.429
3 1 1 -17.815 -27.246
4 1 1 -15.711 -24.503
5 1 1 -14.966 -23.358
6 1 1 -12.631 -19.789
7 1 1 -12.114 -18.997
8 1 1 -10.981 -17.27
9 1 1 -10.428 -16.383
10 1 1 -10.381 -16.065
11 1 1 -9.939 -15.78
12 1 1 -9.852 -15.602
13 1 1 -9.840 -15.586
14 1 1 -9.698 -15.392
15 1 1 -9.477 -15.035
16 1 1 -9.463 -15.016
17 1 1 -9.348 -15.13
18 1 1 -8.827 -14.117
19 1 1 -8.794 -14.058
20 1 1 -8.459 -13.586
21 1 1 -8.431 -13.526
22 1 1 -8.422 -13.504
23 1 1 -8.358 -13.346
24 1 1 -8.347 -13.329
25 1 1 -8.342 -13.325
26 1 1 -8.333 -13.313
27 1 1 -7.946 -13.176
28 1 1 -7.656 -12.743
29 1 1 -7.608 -12.571
30 1 1 -7.382 -12.477
31 1 1 -7.336 -11.834
32 1 1 -7.309 -11.8
33 1 1 -7.307 -11.782
34 1 1 -7.297 -11.781
35 1 1 -7.278 -11.835
36 1 1 -7.259 -11.872
37 1 1 -6.956 -11.341
38 1 1 -6.920 -11.23
39 1 1 -6.834 -11.597
40 1 1 -6.500 -10.467
41 1 1 -6.494 -10.485
42 1 1 -6.437 -10.696
43 1 1 -6.209 -10.479
44 1 1 -5.878 -9.287
45 1 1 -5.832 -9.506
46 1 1 -5.806 -9.461
47 1 1 -5.799 -9.451
48 1 1 -5.544 -10.006
49 1 1 -5.500 -8.918
50 1 1 -5.472 -8.863
51 1 1 -5.298 -8.73
52 1 1 -5.149 -8.44
53 1 1 -5.065 -8.149
54 1 1 -5.056 -8.146
55 1 1 -5.049 -8.109
56 1 1 -5.025 -8.046
57 1 1 -5.016 -8.035
58 1 1 -5.012 -8.05
59 1 1 -4.873 -8.027
60 1 1 -4.797 -7.858
61 1 1 -4.587 -7.556
62 1 1 -4.183 -6.991
63 1 1 -4.068 -6.545
64 1 1 -4.052 -6.521
65 1 1 -4.046 -6.489
66 1 1 -4.037 -6.49
67 1 1 -4.026 -6.47
68 1 1 -4.025 -6.454
69 1 1 -4.010 -6.501
70 1 1 -3.974 -6.296
71 1 1 -3.963 -6.286
72 1 1 -3.945 -6.244
73 1 1 -3.930 -6.186
74 1 1 -3.864 -6.303
75 1 1 -3.733 -6.082
76 1 1 -3.703 -6.03
77 1 1 -3.692 -6.097
78 1 1 -3.682 -5.741
79 1 1 -3.565 -6.195
80 1 1 -3.104 -5.016
81 1 1 -2.997 -4.675
82 1 1 -2.969 -4.651
83 1 1 -2.947 -4.627
84 1 1 -2.935 -4.552
85 1 1 -2.779 -4.407
86 1 1 -2.765 -4.406
87 1 1 -2.718 -4.336
88 1 1 -2.678 -4.273
89 1 1 -2.436 -3.848
90 1 1 -2.388 -3.732
91 1 1 -2.263 -3.432
92 1 1 -2.232 -3.28
93 1 1 -2.222 -3.273
94 1 1 -2.153 -4.194
95 1 1 -2.053 -2.907
96 1 1 -2.013 -3.241
97 1 1 -1.800 -2.688
98 1 1 -1.759 -2.524
99 1 1 -1.564 -2.271
100 1 1 -1.430 -1.941
101  1 1  -1.315 -1.707
102  1 1  -1.264 -1.58
103  1 1  -1.225 -1.326
104  1 1  -1.210 -1.225
105  1 1  -1.116 -1.042
106  1 1  -1.098 -1.08
107  1 1  -1.076 -1.191
108  1 1  -0.834 -0.546
109  1 1  -0.831 -0.523
110  1 1  -0.702 -0.316
111  1 1  -0.653 -0.041
112  1 1  -0.604 -0.142
113  1 1  -0.564 -0.176
114  1 1  -0.536 -0.027
115  1 1  -0.414 0.214
116  1 1  -0.326 0.517
117  1 1  -0.273 0.725
118  1 1  -0.259 0.601
119  1 1  -0.252 0.581
120  1 1  -0.239 1.61
121  1 1  0.040 2.442
122  1 1  0.123 2.318
123  1 1  0.171 2.301
124  1 1  0.207 2.505
125  1 1  0.244 2.788
126  1 1  0.281 2.699
127  1 1  0.322 2.791
128  1 1  0.334 2.906
129  1 1  0.340 2.852
130  1 1  0.385 2.868
131  1 1  0.402 2.953
132  1 1  0.535 3.305
133  1 1  0.641 3.498
134  1 1  0.747 3.682
135  1 1  0.792 3.805
136  1 1  0.846 3.787
137  1 1  0.864 3.88
138  1 1  0.949 4.079
139  1 1  1.190 4.476
140  1 1  1.210 4.561
141  1 1  1.285 4.598
142  1 1  1.307 4.675
143  1 1  1.408 5.323
144  1 1  1.449 5.085
