# nkptgw: 4 neig: 272
# E(DFT) pulse
-11.05844938 1.0 
-10.76301738 1.0 
-10.28327738 1.0 
-10.20545638 1.0 
-9.92229238 1.0 
-9.91160638 1.0 
-9.63970238 1.0 
-9.62896638 1.0 
-9.61746138 1.0 
-9.43442638 1.0 
-9.34689538 1.0 
-9.16998738 1.0 
-9.15264838 1.0 
-9.07622838 1.0 
-8.87800638 1.0 
-8.87140538 1.0 
-8.78442538 1.0 
-8.77326838 1.0 
-8.77204738 1.0 
-8.51491638 1.0 
-8.49140938 1.0 
-8.40392338 1.0 
-8.32838738 1.0 
-8.31063438 1.0 
-8.22420238 1.0 
-8.21137038 1.0 
-8.03796438 1.0 
-7.93210138 1.0 
-7.77001438 1.0 
-7.75732338 1.0 
-7.75229038 1.0 
-7.74597438 1.0 
-7.65308438 1.0 
-7.65292438 1.0 
-7.56662038 1.0 
-7.48078638 1.0 
-7.37444138 1.0 
-7.12151438 1.0 
-7.09735338 1.0 
-7.01146138 1.0 
-6.92115038 1.0 
-6.91255738 1.0 
-6.91176738 1.0 
-6.83375738 1.0 
-6.81938838 1.0 
-6.64381538 1.0 
-6.57879838 1.0 
-6.36717138 1.0 
-6.36681938 1.0 
-6.36026538 1.0 
-6.26716438 1.0 
-6.08355138 1.0 
-6.01811238 1.0 
-6.01738938 1.0 
-5.90793238 1.0 
-5.83518138 1.0 
-5.81620138 1.0 
-5.74806938 1.0 
-5.73341338 1.0 
-5.73226038 1.0 
-5.71921538 1.0 
-5.55115138 1.0 
-5.53532738 1.0 
-5.47289238 1.0 
-5.28847238 1.0 
-5.27259638 1.0 
-5.27011738 1.0 
-5.26885138 1.0 
-5.20983338 1.0 
-5.19846938 1.0 
-5.09186138 1.0 
-5.08662638 1.0 
-5.01426638 1.0 
-5.00798638 1.0 
-4.92666938 1.0 
-4.89961138 1.0 
-4.74383838 1.0 
-4.73257538 1.0 
-4.65924038 1.0 
-4.65286138 1.0 
-4.63915638 1.0 
-4.63044638 1.0 
-4.54488338 1.0 
-4.53555438 1.0 
-4.47558038 1.0 
-4.47038838 1.0 
-4.37988138 1.0 
-4.37014038 1.0 
-4.27795438 1.0 
-4.20828038 1.0 
-4.19073338 1.0 
-4.18709238 1.0 
-4.11313338 1.0 
-4.10609538 1.0 
-4.09862238 1.0 
-3.93631838 1.0 
-3.93257838 1.0 
-3.91805338 1.0 
-3.91580038 1.0 
-3.90447138 1.0 
-3.83358638 1.0 
-3.82505138 1.0 
-3.81247638 1.0 
-3.74031038 1.0 
-3.69167438 1.0 
-3.67263538 1.0 
